id,count
0,90.7
1,234.23
2,82.55
4,29.15
5,68.84
10,130.4
11,149.34
12,298.14
15,27.52
17,116.05
18,308.65
23,266.5
25,105.97
26,37.35
31,207.39
39,165.8
40,25.55
41,178.45
42,356.37
43,157.43
51,233.37
52,80.61
54,16.1
60,143.45
61,150.25
62,115.15
63,30.76
65,120.01
66,116.11
68,158.75
71,68.62
80,30.25
82,69.44
94,133.09
98,280.81
101,28.47
102,139.42
107,89.01
112,211.23
113,73.69
115,50.7
116,123.15
120,179.63
121,77.95
122,322.49
132,181.4
143,93.31
147,63.49
150,16.92
151,86.82
152,246.0
153,91.66
155,164.02
156,73.31
159,194.2
161,156.48
163,43.88
177,173.2
186,12.5
188,18.04
190,100.89
191,86.83
192,257.82
195,297.92
200,142.59
209,311.76
210,14.13
211,221.65
214,133.43
215,25.95
218,101.12
219,32.23
222,153.58
225,13.61
228,322.59
236,239.58
241,38.27
242,202.2
243,244.96
245,17.08
247,240.85
251,131.76
252,91.59
253,87.73
254,96.39
258,324.18
260,49.65
261,152.25
265,118.37
266,274.95
267,297.29
269,157.64
270,66.87
275,103.23
278,38.45
279,87.77
286,101.83
287,30.68
288,215.38
289,149.43
293,19.07
294,172.47
297,31.02
302,118.38
303,56.47
304,70.59
307,103.61
309,17.26
311,168.54
312,117.88
314,187.19
315,252.12
319,166.89
322,117.89
323,66.99
325,140.63
327,239.74
330,37.8
332,219.72
333,18.12
338,103.05
341,111.59
345,184.38
348,128.04
349,46.32
350,119.58
352,48.11
355,16.81
356,227.08
358,51.97
363,131.67
369,151.83
371,18.98
372,152.9
375,307.04
380,126.66
388,44.67
391,155.46
392,266.08
393,360.99
394,186.13
396,27.26
401,37.27
407,114.76
409,92.25
410,116.77
416,103.89
418,126.77
420,155.22
421,198.83
422,134.06
424,295.66
428,317.57
429,202.09
431,171.02
435,13.47
439,116.31
441,13.16
447,98.28
449,149.1
451,147.74
452,17.25
454,210.54
458,197.22
463,124.81
467,15.94
470,229.67
471,152.97
474,285.81
478,17.06
483,126.25
484,127.22
485,82.58
486,126.55
491,100.28
494,95.59
495,233.81
497,206.03
499,175.37
515,114.19
518,212.6
521,208.25
525,169.63
529,248.44
532,141.3
534,114.89
540,114.28
544,313.45
547,167.06
549,44.36
563,36.67
564,145.53
567,121.88
572,108.61
577,133.74
578,274.05
585,332.8
588,157.0
589,118.85
590,105.15
592,17.16
594,225.36
596,16.0
598,326.94
599,143.67
605,36.51
606,128.1
607,261.89
608,221.62
609,64.83
610,290.11
611,184.12
614,132.11
615,216.21
616,253.85
617,125.49
618,248.62
624,120.49
629,136.48
631,90.29
633,92.62
637,24.51
638,103.73
643,63.51
644,136.56
645,38.08
646,211.71
648,205.83
650,40.7
651,197.35
652,266.99
656,115.18
657,18.95
659,69.91
660,227.37
662,99.56
665,361.1
675,327.73
681,160.61
682,216.13
685,25.28
686,215.78
689,25.82
696,145.12
703,146.64
704,96.31
705,124.6
714,232.0
717,102.54
718,14.87
720,91.45
721,265.07
723,235.35
726,185.03
728,132.51
730,200.61
