id,count
0,92.09
1,243.27
2,91.36
4,30.07
5,62.7
10,122.42
11,210.15
12,315.99
15,31.09
17,115.85
18,303.63
23,263.04
25,101.44
26,39.41
31,217.04
39,144.89
40,24.79
41,175.15
42,365.24
43,155.88
51,250.98
52,79.61
54,17.03
60,142.38
61,147.38
62,112.38
63,29.64
65,118.34
66,114.86
68,148.53
71,68.36
80,29.22
82,69.14
94,134.67
98,286.23
101,29.43
102,130.35
107,100.4
112,203.33
113,74.62
115,52.23
116,119.92
120,168.52
121,77.5
122,332.08
132,191.61
143,90.46
147,67.0
150,18.12
151,87.37
152,250.44
153,92.42
155,160.38
156,76.36
159,191.7
161,148.75
163,41.39
177,169.49
186,16.87
188,17.93
190,104.97
191,83.55
192,265.72
195,303.59
200,141.04
209,307.58
210,15.06
211,218.23
214,123.56
215,26.07
218,98.73
219,33.06
222,150.5
225,13.9
228,318.98
236,235.73
241,35.57
242,192.63
243,238.38
245,16.77
247,252.05
251,137.92
252,94.83
253,84.77
254,96.4
258,324.63
260,51.18
261,155.05
265,112.51
266,281.18
267,301.66
269,164.97
270,65.78
275,101.41
278,39.65
279,86.0
286,107.49
287,29.98
288,213.38
289,145.36
293,20.2
294,141.97
297,32.04
302,119.69
303,67.35
304,65.06
307,103.33
309,17.92
311,171.01
312,128.08
314,186.46
315,245.81
319,166.24
322,114.04
323,66.43
325,140.99
327,244.36
330,39.75
332,218.57
333,18.17
338,102.78
341,109.3
345,183.29
348,127.38
349,42.9
350,123.43
352,51.04
355,15.52
356,240.13
358,55.97
363,130.66
369,148.03
371,19.61
372,133.88
375,299.09
380,134.35
388,43.31
391,164.63
392,264.67
393,367.01
394,203.77
396,28.39
401,38.48
407,109.41
409,91.97
410,120.22
416,121.3
418,124.6
420,150.04
421,200.04
422,132.2
424,292.01
428,334.67
429,211.58
431,163.92
435,15.44
439,117.08
441,14.75
447,94.27
449,139.44
451,144.38
452,16.47
454,216.94
458,210.03
463,129.72
467,15.6
470,242.72
471,157.58
474,287.32
478,16.47
483,124.81
484,132.59
485,81.32
486,130.78
491,98.76
494,103.23
495,239.41
497,210.08
499,170.96
515,114.33
518,231.59
521,201.01
525,165.4
529,254.86
532,140.59
534,107.66
540,112.04
544,302.9
547,163.1
549,41.36
563,34.29
564,145.34
567,122.84
572,115.12
577,128.51
578,274.54
585,342.43
588,140.21
589,123.47
590,103.9
592,17.19
594,237.19
596,15.28
598,341.45
599,141.03
605,39.04
606,132.39
607,262.64
608,229.81
609,64.32
610,283.99
611,194.57
614,134.74
615,224.47
616,255.15
617,125.89
618,259.0
624,120.09
629,136.77
631,89.37
633,96.48
637,27.16
638,102.59
643,63.91
644,139.63
645,38.2
646,210.71
648,197.85
650,40.15
651,204.01
652,270.44
656,116.12
657,17.71
659,85.62
660,214.19
662,102.18
665,373.39
675,325.94
681,159.94
682,227.03
685,24.27
686,222.89
689,26.37
696,130.37
703,143.45
704,96.0
705,125.11
714,235.6
717,101.63
718,15.34
720,91.23
721,266.15
723,233.31
726,192.05
728,136.53
730,203.68
731,29.0
734,350.56
737,84.05
738,19.46
745,175.79
746,28.07
749,232.96
752,27.28
753,170.38
758,236.65
